job_id,tool_id,tool_version,state,memory.max_usage_in_bytes,cpuacct.usage,process_count,galaxy_slots,runtime_seconds,ref_data_size,input_data_size_1,input_data_size_2
36b9f19272cc886c,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,27016781824.0000000,24833814495881.0000000,48.0000000,16.0000000,1724.0000000,0,5623417156,5917669619
37da7d8b465eb2fe,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,68718764032.0000000,290018306373882.0000000,48.0000000,16.0000000,18863.0000000,0,18408269770,19316864353
ee52053a59e11568,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,68719026176.0000000,90384239970059.0000000,48.0000000,16.0000000,6165.0000000,0,18408269770,19316864353
825ba24bacc91261,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14450688.0000000,118122381.0000000,48.0000000,16.0000000,6.0000000,0,18408269770,19316864353
b9f500b68e924ecc,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14815232.0000000,116218943.0000000,48.0000000,16.0000000,10.0000000,0,558003467,591264254
3abda55f61a71276,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,19358404608.0000000,9367901234650.0000000,48.0000000,16.0000000,782.0000000,0,558003467,591264254
b1e39af14ce704af,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,58389536768.0000000,77782239297603.0000000,48.0000000,16.0000000,5279.0000000,0,18408269770,19316864353
d03080e899248625,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14663680.0000000,116752125.0000000,48.0000000,16.0000000,9.0000000,0,5623417156,5917669619
39dfc44cab90bcdb,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,11503284224.0000000,2340724994141.0000000,48.0000000,16.0000000,307.0000000,0,558003467,591264254
e4ceeb0503f02e1a,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,29366226944.0000000,2937398605204.0000000,48.0000000,16.0000000,304.0000000,0,558003467,591264254
7625bb289dbae0e8,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,47248715776.0000000,27124095273523.0000000,48.0000000,16.0000000,1940.0000000,0,5623417156,5917669619
f9f92457d2302890,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,error,11769843712.0000000,7765141225.0000000,48.0000000,16.0000000,178.0000000,0,5623417156,5917669619
